,input,output
253,"Given the question ""How much will it cost?"" and the answer ""$ 2 for the first three minutes."", write a conversation that might have happened.
","
M: Operator, I want to make a person-to-person call to Miss Marilyn Peters in Washington, D.C. The number is 393-5331.

W: One moment, please. I'll get that number for you. Hello. Is this 393-5331? Is this Miss Marilyn Peters? It is? I have a long distance call for you.

M: How much is it, Operator?

W: That will be two dollars for the first three minutes.

M: Hello? Hello? Marilyn? Operator! Operator, we've been disconnected.

W: One moment, please. I'll see if I can connect you again."
254,"Given the question ""How old is the man now?"" and the answer ""29 years old."", write a conversation that might have happened.
","
W: How long have you been in this company?

M: I have been here for about 8 years. I came here when I was twenty-one."
255,"Given the question ""How old is Jane's brother?"" and the answer ""Fourteen."", write a conversation that might have happened.
","
F: Jane is sixteen. How old is her brother?

M: He is two years younger."
256,"Given the question ""What does the woman want to buy?"" and the answer ""Dishes."", write a conversation that might have happened.
","
W: How much are those blue plates and bowls?

M: Ten dollars for a set of four-piece."
257,"Given the question ""What is the man looking for?"" and the answer ""Batteries."", write a conversation that might have happened.
","
M: Would you please tell me where I can get batteries for this brand of camera?

W: Let me have a look. Oh, yes, go down this aisle, pass the garden tools, you'll find them on the shelf next to the light bulbs."
258,"Given the question ""What does the woman imply(ltd')about Kelly?"" and the answer ""She's perhaps nearby."", write a conversation that might have happened.
","
M: Have you seen Kelly around? We would like to go for lunch.

W: Well, her bag is here on the chair."
259,"Given the question ""Are they on the playground now?"" and the answer ""Yes, they are."", write a conversation that might have happened.
","
F: Where are Tom and Jim?

M: They have gone to the playground."
260,"Given the question ""What does the man mean?"" and the answer ""It'll be a bit late."", write a conversation that might have happened.
","
W: When will you be back?

M: In an hour.

W: Can you come much earlier?"
261,"Given the question ""When does the man want to leave?"" and the answer ""On the 8th of June."", write a conversation that might have happened.
","
M: I'd like to make two reservations on Flight 651 for June 8th.

W: I'm sorry, we're booked up on the 8th. But we still have a few seats available on the 9th."
262,"Given the question ""What's most probably the relationship between the two speakers at the moment?"" and the answer ""Colleagues."", write a conversation that might have happened.
","
W: Hi, Jack, I just came back yesterday. Anything new while I was away?

M: Congratulations, Susan! It's said you will be promoted to manager and become my immediate boss."
263,"Given the question ""Where is the exhibition been held?"" and the answer ""Main Street. No. 16."", write a conversation that might have happened.
","
F: Where is the exhibition been held?

M: Main Street. No. 16."
264,"Given the question ""Who suggested the woman call the man?"" and the answer ""Her friend."", write a conversation that might have happened.
","
W: Hi, my name is Christa and I have a friend Mary, whose son is taking guitar lessons from you, and she suggested I call you.

M: OK. Will the lessons be for yourself or your son?

W: I want to learn. My son is only three.

M: Fine. Have you had any musical experience before?

W: Well, I studied the piano for about three months but that was 6 years ago.

M: That's good. So we needn't start right from the beginning again.

W: When can I take lessons and how much do they cost?

M: Well, that depends on you. We have a small group that meets on Monday and Wednesday evenings for two hours, that costs $4 an hour. Then on Tuesdays and Thursdays I give private lessons which cost $8 an hour.

W: I'm afraid that I can't make it on Mondays but I can come on Wednesdays."
265,"Given the question ""What musical experience does the woman have?"" and the answer ""She has very little."", write a conversation that might have happened.
","
W: Hi, my name is Christa and I have a friend Mary, whose son is taking guitar lessons from you, and she suggested I call you.

M: OK. Will the lessons be for yourself or your son?

W: I want to learn. My son is only three.

M: Fine. Have you had any musical experience before?

W: Well, I studied the piano for about three months but that was 6 years ago.

M: That's good. So we needn't start right from the beginning again.

W: When can I take lessons and how much do they cost?

M: Well, that depends on you. We have a small group that meets on Monday and Wednesday evenings for two hours, that costs $4 an hour. Then on Tuesdays and Thursdays I give private lessons which cost $8 an hour.

W: I'm afraid that I can't make it on Mondays but I can come on Wednesdays."
266,"Given the question ""Which lesson does the woman want to come to?"" and the answer ""The group class on Wednesday."", write a conversation that might have happened.
","
W: Hi, my name is Christa and I have a friend Mary, whose son is taking guitar lessons from you, and she suggested I call you.

M: OK. Will the lessons be for yourself or your son?

W: I want to learn. My son is only three.

M: Fine. Have you had any musical experience before?

W: Well, I studied the piano for about three months but that was 6 years ago.

M: That's good. So we needn't start right from the beginning again.

W: When can I take lessons and how much do they cost?

M: Well, that depends on you. We have a small group that meets on Monday and Wednesday evenings for two hours, that costs $4 an hour. Then on Tuesdays and Thursdays I give private lessons which cost $8 an hour.

W: I'm afraid that I can't make it on Mondays but I can come on Wednesdays."
267,"Given the question ""Where are the two speakers?"" and the answer ""At a post office."", write a conversation that might have happened.
","
M: How much is an airmail letter to Japan?

W: I'll have to check. Can I help you with anything else?

M: I'd like a 20-cent stamp, please.

W: There you are."
268,"Given the question ""What does the woman mean?"" and the answer ""She will drive the man to the supermarket."", write a conversation that might have happened.
","
M: Do you think I could borrow your car to go grocery shopping? The supermarkets outside the city are so much cheaper. I'd also be happy to pick up anything you need.

W: Well, I don't like to let anyone else drive my car. Tell you what, why don't we go together?"
269,"Given the question ""What does the woman say about John?"" and the answer ""He always finds good places to eat."", write a conversation that might have happened.
","
M: John sure knows some good places to eat, doesn't he?

W: Yeah, when it comes to finding great restaurants, John could write a book."
270,"Given the question ""What is the man doing?"" and the answer ""He is sending some postcards."", write a conversation that might have happened.
","
M: Could you tell me how much it is to send a postcard by airmail to Europe?

W: Twenty five cents.

M: OK, I'd like two 25 cent stamps, please.

W: Here you are."
271,"Given the question ""What does the woman want to drink?"" and the answer ""Wine."", write a conversation that might have happened.
","
W: I'll have a glass of wine please, and my friend will have a beer.

M: Would you like them now or during your meal?

W: Bring them to us now, please."
272,"Given the question ""Where are the speakers?"" and the answer ""In a store."", write a conversation that might have happened.
","
W: Excuse me. Can I have change for a dollar, please?

M: Sorry, but I can only give you change if you buy something.

W: But I only have a dollar on me, and all I need is four quarters.

M: Sorry, but I don't make the rules."
273,"Given the question ""What does the woman mean?"" and the answer ""She couldn't talk to the consultant before two."", write a conversation that might have happened.
","
M: By the way, Jane, did you talk to the consultant about our health program?

W: I contacted his office, but his secretary said he would be out for lunch until two."
274,"Given the question ""When is Steve going out with Jennifer?"" and the answer ""Saturday"", write a conversation that might have happened.
","
Steve: Hey, Ranae. Do you happen to know where the movie theater is downtown? The one near the hospital.

Ranae: Yeah. Why do you want to know?

Steve: Well, on Monday, I asked Jennifer out on a date for this coming Saturday night.

Ranae: Wow. You've really been seeing a lot of her lately. Sounds great. Okay, write down these directions so you don't get lost.

Steve: Okay, go ahead.

Ranae: First, drive down 1st street going west, cross the river, and keep going straight until Pine Street.

Steve: Until Pine Street, right?

Ranae: Right. Then turn left, and the movie theater is the second building on the right. It's next to the church.

Steve: Second building on the right. Got it. Now, can you recommend any nice restaurants?

Ranae: Yeah. The Pink Flamingo serves excellent Spanish food.

Steve: Well where's that?

Ranae: Well, starting from the movie theater, go south on Pine Street, cross 2nd Street, and drive to 3rd Street. You'll see a parking lot on the left side of the street. Okay so far?

Steve: A parking lot on the left. Okay. Then what?

Ranae: Okay, then turn left on 3rd Street and drive east. The Pink Flamingo is the building just before the river on the left side. I think it's open weekdays from 10:30 in the morning to 11:30 at night, but it stays open until midnight on the weekends.

Steve: Okay, I think I've driven by there before. Oh, last thing. Where can I buy some flowers? We're going out to celebrate Jennifer's birthday.

Ranae: Well the only florist I know is in front of the stadium on 2nd Street. Try that one.

Steve: Great. Thanks a lot."
275,"Given the question ""Where is the movie theater?"" and the answer ""12"", write a conversation that might have happened.
","
Steve: Hey, Ranae. Do you happen to know where the movie theater is downtown? The one near the hospital.

Ranae: Yeah. Why do you want to know?

Steve: Well, on Monday, I asked Jennifer out on a date for this coming Saturday night.

Ranae: Wow. You've really been seeing a lot of her lately. Sounds great. Okay, write down these directions so you don't get lost.

Steve: Okay, go ahead.

Ranae: First, drive down 1st street going west, cross the river, and keep going straight until Pine Street.

Steve: Until Pine Street, right?

Ranae: Right. Then turn left, and the movie theater is the second building on the right. It's next to the church.

Steve: Second building on the right. Got it. Now, can you recommend any nice restaurants?

Ranae: Yeah. The Pink Flamingo serves excellent Spanish food.

Steve: Well where's that?

Ranae: Well, starting from the movie theater, go south on Pine Street, cross 2nd Street, and drive to 3rd Street. You'll see a parking lot on the left side of the street. Okay so far?

Steve: A parking lot on the left. Okay. Then what?

Ranae: Okay, then turn left on 3rd Street and drive east. The Pink Flamingo is the building just before the river on the left side. I think it's open weekdays from 10:30 in the morning to 11:30 at night, but it stays open until midnight on the weekends.

Steve: Okay, I think I've driven by there before. Oh, last thing. Where can I buy some flowers? We're going out to celebrate Jennifer's birthday.

Ranae: Well the only florist I know is in front of the stadium on 2nd Street. Try that one.

Steve: Great. Thanks a lot."
276,"Given the question ""Where is the restaurant located?"" and the answer ""11"", write a conversation that might have happened.
","
Steve: Hey, Ranae. Do you happen to know where the movie theater is downtown? The one near the hospital.

Ranae: Yeah. Why do you want to know?

Steve: Well, on Monday, I asked Jennifer out on a date for this coming Saturday night.

Ranae: Wow. You've really been seeing a lot of her lately. Sounds great. Okay, write down these directions so you don't get lost.

Steve: Okay, go ahead.

Ranae: First, drive down 1st street going west, cross the river, and keep going straight until Pine Street.

Steve: Until Pine Street, right?

Ranae: Right. Then turn left, and the movie theater is the second building on the right. It's next to the church.

Steve: Second building on the right. Got it. Now, can you recommend any nice restaurants?

Ranae: Yeah. The Pink Flamingo serves excellent Spanish food.

Steve: Well where's that?

Ranae: Well, starting from the movie theater, go south on Pine Street, cross 2nd Street, and drive to 3rd Street. You'll see a parking lot on the left side of the street. Okay so far?

Steve: A parking lot on the left. Okay. Then what?

Ranae: Okay, then turn left on 3rd Street and drive east. The Pink Flamingo is the building just before the river on the left side. I think it's open weekdays from 10:30 in the morning to 11:30 at night, but it stays open until midnight on the weekends.

Steve: Okay, I think I've driven by there before. Oh, last thing. Where can I buy some flowers? We're going out to celebrate Jennifer's birthday.

Ranae: Well the only florist I know is in front of the stadium on 2nd Street. Try that one.

Steve: Great. Thanks a lot."
277,"Given the question ""What time does the restaurant close on Sundays?"" and the answer ""12:00 AM"", write a conversation that might have happened.
","
Steve: Hey, Ranae. Do you happen to know where the movie theater is downtown? The one near the hospital.

Ranae: Yeah. Why do you want to know?

Steve: Well, on Monday, I asked Jennifer out on a date for this coming Saturday night.

Ranae: Wow. You've really been seeing a lot of her lately. Sounds great. Okay, write down these directions so you don't get lost.

Steve: Okay, go ahead.

Ranae: First, drive down 1st street going west, cross the river, and keep going straight until Pine Street.

Steve: Until Pine Street, right?

Ranae: Right. Then turn left, and the movie theater is the second building on the right. It's next to the church.

Steve: Second building on the right. Got it. Now, can you recommend any nice restaurants?

Ranae: Yeah. The Pink Flamingo serves excellent Spanish food.

Steve: Well where's that?

Ranae: Well, starting from the movie theater, go south on Pine Street, cross 2nd Street, and drive to 3rd Street. You'll see a parking lot on the left side of the street. Okay so far?

Steve: A parking lot on the left. Okay. Then what?

Ranae: Okay, then turn left on 3rd Street and drive east. The Pink Flamingo is the building just before the river on the left side. I think it's open weekdays from 10:30 in the morning to 11:30 at night, but it stays open until midnight on the weekends.

Steve: Okay, I think I've driven by there before. Oh, last thing. Where can I buy some flowers? We're going out to celebrate Jennifer's birthday.

Ranae: Well the only florist I know is in front of the stadium on 2nd Street. Try that one.

Steve: Great. Thanks a lot."
278,"Given the question ""Where is the florist?"" and the answer ""10"", write a conversation that might have happened.
","
Steve: Hey, Ranae. Do you happen to know where the movie theater is downtown? The one near the hospital.

Ranae: Yeah. Why do you want to know?

Steve: Well, on Monday, I asked Jennifer out on a date for this coming Saturday night.

Ranae: Wow. You've really been seeing a lot of her lately. Sounds great. Okay, write down these directions so you don't get lost.

Steve: Okay, go ahead.

Ranae: First, drive down 1st street going west, cross the river, and keep going straight until Pine Street.

Steve: Until Pine Street, right?

Ranae: Right. Then turn left, and the movie theater is the second building on the right. It's next to the church.

Steve: Second building on the right. Got it. Now, can you recommend any nice restaurants?

Ranae: Yeah. The Pink Flamingo serves excellent Spanish food.

Steve: Well where's that?

Ranae: Well, starting from the movie theater, go south on Pine Street, cross 2nd Street, and drive to 3rd Street. You'll see a parking lot on the left side of the street. Okay so far?

Steve: A parking lot on the left. Okay. Then what?

Ranae: Okay, then turn left on 3rd Street and drive east. The Pink Flamingo is the building just before the river on the left side. I think it's open weekdays from 10:30 in the morning to 11:30 at night, but it stays open until midnight on the weekends.

Steve: Okay, I think I've driven by there before. Oh, last thing. Where can I buy some flowers? We're going out to celebrate Jennifer's birthday.

Ranae: Well the only florist I know is in front of the stadium on 2nd Street. Try that one.

Steve: Great. Thanks a lot."
279,"Given the question ""How did the woman feel about the man?"" and the answer ""Annoyed."", write a conversation that might have happened.
","
W: Can't you knock on the door before you enter my office next time?

M: Sorry! It's just that I'm in such a hurry."
280,"Given the question ""Where did she found her book?"" and the answer ""Under her bed."", write a conversation that might have happened.
","
M: Where did you find your book?

F: I found it under my bed."
281,"Given the question ""What's the relationship between the man and the woman?"" and the answer ""They are husband and wife."", write a conversation that might have happened.
","
F: Mike, have you seen little Franz? I can't find him anywhere!

M: Don't worry, dear. Our son won't go too far."
282,"Given the question ""What does the man mean?"" and the answer ""The library closed earlier than he'd expected."", write a conversation that might have happened.
","
W: Were you able to use the book that Dr. Nelson put on reserve for our homework?

M: No, I wasn't. It's a mystery to me why the library closed early."
283,"Given the question ""When will the woman discuss her class project with the man?"" and the answer ""Tomorrow."", write a conversation that might have happened.
","
W: Excuse me,Professor Carson, but I was hoping to talk to you about my class project.

M: I have a class in a few minutes. Why don't you come and see me during office hours tomorrow?"
284,"Given the question ""What did the boy's father do last week?"" and the answer ""Had 5 meetings."", write a conversation that might have happened.
","
F: How many meetings did your father have last week?

M: My father had 5 meetings."
285,"Given the question ""Which musical instrument does Bob have?"" and the answer ""A guitar."", write a conversation that might have happened.
","
M: Does Jane still play the violin?

W: Yes. She's practising it every day.

M: You should be happy then.

W: Yeah. It's Bob that's worried about. He really wants to buy drums. But he thinks we spent all that money on the guitar and he has hardly used it."
286,"Given the question ""Where did the car accident take place?"" and the answer ""in front of the house"", write a conversation that might have happened.
","
Man: Honey. Do you know what time Katie will be home?

Woman: Uh, she should be here any minute. She took the car to pick up something from the store.

Man: Okay, I was just a little worried that ... Man, what was that? Oh, no. The car! She drove over the mailbox and hit a tree in the front yard. Ah, the car!

Woman: Well, just don't stand there blabbing all day. Let's go out and see if Katie's okay.

Man: Ah, my car.

Woman: Honey, are you okay?

Daughter: Oh, mom. I'm so sorry. I can't believe this is happening.

Man: Oh, my car!

Woman: Forget your car!

Man: Driving with the cell phone. I know.

Daughter: It wasn't that at all. Don't jump to conclusions.

Man: Oh, yeah.

Daughter: Dad ... uh, mom. It's not like that at all. I mean, as I was pulling into the driveway, something rolled from under the seat and got stuck under the brake pedal ... the gas pedal ... I, I don't know, and I couldn't stop the car. And then I accidentally hit the gas when I wanted to brake, and I hit the mailbox.

Woman: Uh, I think I know what the problem was. Honey, did you put those golf balls away like I told you? The ones YOU put under the driver's seat ... the ones I told you would get in the way.

Man: Man, I thought I got those.

Daughter: Plus, Mom, the windshield wipers on the car didn't work, so I couldn't see very well in the rain.

Woman: Didn't you get those fixed?

Man: Uh, I've been meaning to get those repaired.

Daughter: And mom. I was going to use the car this weekend to go camping with my friends, but now my plans are ruined. My friends are going to hate me. What am I going to do?

Woman: Hon, yeah, what IS your daughter going to do? It appears that it's mainly your fault for the accident and that she's in such a jam.

Man: My fault? Hey, why don't you just invite your friends over for pizza? I'll buy.

Daughter: Mom, we've been planning this weekend for months. I need a car.

Woman: Hon.

Man: What? I mean, man, what a predicament! That's tough.

Woman: I think what your dad is trying to say is that you can..."
287,"Given the question ""Which factor did NOT contribute to the accident?"" and the answer ""excessive speed"", write a conversation that might have happened.
","
Man: Honey. Do you know what time Katie will be home?

Woman: Uh, she should be here any minute. She took the car to pick up something from the store.

Man: Okay, I was just a little worried that ... Man, what was that? Oh, no. The car! She drove over the mailbox and hit a tree in the front yard. Ah, the car!

Woman: Well, just don't stand there blabbing all day. Let's go out and see if Katie's okay.

Man: Ah, my car.

Woman: Honey, are you okay?

Daughter: Oh, mom. I'm so sorry. I can't believe this is happening.

Man: Oh, my car!

Woman: Forget your car!

Man: Driving with the cell phone. I know.

Daughter: It wasn't that at all. Don't jump to conclusions.

Man: Oh, yeah.

Daughter: Dad ... uh, mom. It's not like that at all. I mean, as I was pulling into the driveway, something rolled from under the seat and got stuck under the brake pedal ... the gas pedal ... I, I don't know, and I couldn't stop the car. And then I accidentally hit the gas when I wanted to brake, and I hit the mailbox.

Woman: Uh, I think I know what the problem was. Honey, did you put those golf balls away like I told you? The ones YOU put under the driver's seat ... the ones I told you would get in the way.

Man: Man, I thought I got those.

Daughter: Plus, Mom, the windshield wipers on the car didn't work, so I couldn't see very well in the rain.

Woman: Didn't you get those fixed?

Man: Uh, I've been meaning to get those repaired.

Daughter: And mom. I was going to use the car this weekend to go camping with my friends, but now my plans are ruined. My friends are going to hate me. What am I going to do?

Woman: Hon, yeah, what IS your daughter going to do? It appears that it's mainly your fault for the accident and that she's in such a jam.

Man: My fault? Hey, why don't you just invite your friends over for pizza? I'll buy.

Daughter: Mom, we've been planning this weekend for months. I need a car.

Woman: Hon.

Man: What? I mean, man, what a predicament! That's tough.

Woman: I think what your dad is trying to say is that you can..."
288,"Given the question ""Why is the girl really upset?"" and the answer ""She won't have a car to drive over the weekend."", write a conversation that might have happened.
","
Man: Honey. Do you know what time Katie will be home?

Woman: Uh, she should be here any minute. She took the car to pick up something from the store.

Man: Okay, I was just a little worried that ... Man, what was that? Oh, no. The car! She drove over the mailbox and hit a tree in the front yard. Ah, the car!

Woman: Well, just don't stand there blabbing all day. Let's go out and see if Katie's okay.

Man: Ah, my car.

Woman: Honey, are you okay?

Daughter: Oh, mom. I'm so sorry. I can't believe this is happening.

Man: Oh, my car!

Woman: Forget your car!

Man: Driving with the cell phone. I know.

Daughter: It wasn't that at all. Don't jump to conclusions.

Man: Oh, yeah.

Daughter: Dad ... uh, mom. It's not like that at all. I mean, as I was pulling into the driveway, something rolled from under the seat and got stuck under the brake pedal ... the gas pedal ... I, I don't know, and I couldn't stop the car. And then I accidentally hit the gas when I wanted to brake, and I hit the mailbox.

Woman: Uh, I think I know what the problem was. Honey, did you put those golf balls away like I told you? The ones YOU put under the driver's seat ... the ones I told you would get in the way.

Man: Man, I thought I got those.

Daughter: Plus, Mom, the windshield wipers on the car didn't work, so I couldn't see very well in the rain.

Woman: Didn't you get those fixed?

Man: Uh, I've been meaning to get those repaired.

Daughter: And mom. I was going to use the car this weekend to go camping with my friends, but now my plans are ruined. My friends are going to hate me. What am I going to do?

Woman: Hon, yeah, what IS your daughter going to do? It appears that it's mainly your fault for the accident and that she's in such a jam.

Man: My fault? Hey, why don't you just invite your friends over for pizza? I'll buy.

Daughter: Mom, we've been planning this weekend for months. I need a car.

Woman: Hon.

Man: What? I mean, man, what a predicament! That's tough.

Woman: I think what your dad is trying to say is that you can..."
289,"Given the question ""What is her dad's original solution to her predicament?"" and the answer ""He suggests she invite friends over to eat."", write a conversation that might have happened.
","
Man: Honey. Do you know what time Katie will be home?

Woman: Uh, she should be here any minute. She took the car to pick up something from the store.

Man: Okay, I was just a little worried that ... Man, what was that? Oh, no. The car! She drove over the mailbox and hit a tree in the front yard. Ah, the car!

Woman: Well, just don't stand there blabbing all day. Let's go out and see if Katie's okay.

Man: Ah, my car.

Woman: Honey, are you okay?

Daughter: Oh, mom. I'm so sorry. I can't believe this is happening.

Man: Oh, my car!

Woman: Forget your car!

Man: Driving with the cell phone. I know.

Daughter: It wasn't that at all. Don't jump to conclusions.

Man: Oh, yeah.

Daughter: Dad ... uh, mom. It's not like that at all. I mean, as I was pulling into the driveway, something rolled from under the seat and got stuck under the brake pedal ... the gas pedal ... I, I don't know, and I couldn't stop the car. And then I accidentally hit the gas when I wanted to brake, and I hit the mailbox.

Woman: Uh, I think I know what the problem was. Honey, did you put those golf balls away like I told you? The ones YOU put under the driver's seat ... the ones I told you would get in the way.

Man: Man, I thought I got those.

Daughter: Plus, Mom, the windshield wipers on the car didn't work, so I couldn't see very well in the rain.

Woman: Didn't you get those fixed?

Man: Uh, I've been meaning to get those repaired.

Daughter: And mom. I was going to use the car this weekend to go camping with my friends, but now my plans are ruined. My friends are going to hate me. What am I going to do?

Woman: Hon, yeah, what IS your daughter going to do? It appears that it's mainly your fault for the accident and that she's in such a jam.

Man: My fault? Hey, why don't you just invite your friends over for pizza? I'll buy.

Daughter: Mom, we've been planning this weekend for months. I need a car.

Woman: Hon.

Man: What? I mean, man, what a predicament! That's tough.

Woman: I think what your dad is trying to say is that you can..."
290,"Given the question ""How is the situation finally resolved?"" and the answer ""The father reluctantly loans his car."", write a conversation that might have happened.
","
Man: Honey. Do you know what time Katie will be home?

Woman: Uh, she should be here any minute. She took the car to pick up something from the store.

Man: Okay, I was just a little worried that ... Man, what was that? Oh, no. The car! She drove over the mailbox and hit a tree in the front yard. Ah, the car!

Woman: Well, just don't stand there blabbing all day. Let's go out and see if Katie's okay.

Man: Ah, my car.

Woman: Honey, are you okay?

Daughter: Oh, mom. I'm so sorry. I can't believe this is happening.

Man: Oh, my car!

Woman: Forget your car!

Man: Driving with the cell phone. I know.

Daughter: It wasn't that at all. Don't jump to conclusions.

Man: Oh, yeah.

Daughter: Dad ... uh, mom. It's not like that at all. I mean, as I was pulling into the driveway, something rolled from under the seat and got stuck under the brake pedal ... the gas pedal ... I, I don't know, and I couldn't stop the car. And then I accidentally hit the gas when I wanted to brake, and I hit the mailbox.

Woman: Uh, I think I know what the problem was. Honey, did you put those golf balls away like I told you? The ones YOU put under the driver's seat ... the ones I told you would get in the way.

Man: Man, I thought I got those.

Daughter: Plus, Mom, the windshield wipers on the car didn't work, so I couldn't see very well in the rain.

Woman: Didn't you get those fixed?

Man: Uh, I've been meaning to get those repaired.

Daughter: And mom. I was going to use the car this weekend to go camping with my friends, but now my plans are ruined. My friends are going to hate me. What am I going to do?

Woman: Hon, yeah, what IS your daughter going to do? It appears that it's mainly your fault for the accident and that she's in such a jam.

Man: My fault? Hey, why don't you just invite your friends over for pizza? I'll buy.

Daughter: Mom, we've been planning this weekend for months. I need a car.

Woman: Hon.

Man: What? I mean, man, what a predicament! That's tough.

Woman: I think what your dad is trying to say is that you can..."
291,"Given the question ""What's the relationship between the two speakers?"" and the answer ""Hairdresser and customer."", write a conversation that might have happened.
","
M: Do you want the same cut as last time?

W: The same on the top, but I like it a little longer over the ears and on the back."
292,"Given the question ""What's the weather like in New York these days?"" and the answer ""Very hot"", write a conversation that might have happened.
","
W: Good morning, can I help you?

M: Yes, I'd like to know something about the weather in New York this week.

W: Well, it's fairly hot and there's much rain in the evenings.

M: I see, thanks very much for your help."
293,"Given the question ""What are they talking about?"" and the answer ""The food is not cooked enough."", write a conversation that might have happened.
","
M: I'm afraid I have a complaint to make.

W: Yes sir?

M: I don't believe the food is cooked enough.

W: Sorry, I'll bring you another."
294,"Given the question ""Whom did the man and the woman talk about?"" and the answer ""Their schoolmates."", write a conversation that might have happened.
","
M: Do you still see the people we went to school with?

W: I did for a while, I suppose, until I left university, but after that not really.

M: Yeah, I've lost touch with most people as well, but I still see Pat occasionally.

W: Oh, yes, how's she getting on?

M: Okay. I suppose but she's had a rough time in the last few years. She got divorced.

W: What, from Peter?

M: Oh, of course. You knew him, didn't you?

W: They seemed very close. What happened?

M: Yes, they were. Oh, it was all fine until they decided to have children. I think she basically didn't want them, but he did. Well, she had two girls, one after the other, and that meant she had to give up work.

W: Didn't she like being at home?

M: I think she liked working better, but she felt she should be at home with the children.

W: So what happened?

M: It all happened very quickly. She rang me one day to say that Peter had left home. He had a new girlfriend. It was strange because he seemed so devoted to his children. They got divorced in a few months and he was married three days later.

W: Did He take the children?

M: No, that was the amazing thing. He seemed to have lost interest in all of them.

W: Does Pat work?

M: Oh, yes, she has to..."
295,"Given the question ""According to the conversation, why did Peter and Pat get divorced?"" and the answer ""Because Peter had a new girlfriend."", write a conversation that might have happened.
","
M: Do you still see the people we went to school with?

W: I did for a while, I suppose, until I left university, but after that not really.

M: Yeah, I've lost touch with most people as well, but I still see Pat occasionally.

W: Oh, yes, how's she getting on?

M: Okay. I suppose but she's had a rough time in the last few years. She got divorced.

W: What, from Peter?

M: Oh, of course. You knew him, didn't you?

W: They seemed very close. What happened?

M: Yes, they were. Oh, it was all fine until they decided to have children. I think she basically didn't want them, but he did. Well, she had two girls, one after the other, and that meant she had to give up work.

W: Didn't she like being at home?

M: I think she liked working better, but she felt she should be at home with the children.

W: So what happened?

M: It all happened very quickly. She rang me one day to say that Peter had left home. He had a new girlfriend. It was strange because he seemed so devoted to his children. They got divorced in a few months and he was married three days later.

W: Did He take the children?

M: No, that was the amazing thing. He seemed to have lost interest in all of them.

W: Does Pat work?

M: Oh, yes, she has to..."
296,"Given the question ""How long did it take them to get divorced?"" and the answer ""A few months."", write a conversation that might have happened.
","
M: Do you still see the people we went to school with?

W: I did for a while, I suppose, until I left university, but after that not really.

M: Yeah, I've lost touch with most people as well, but I still see Pat occasionally.

W: Oh, yes, how's she getting on?

M: Okay. I suppose but she's had a rough time in the last few years. She got divorced.

W: What, from Peter?

M: Oh, of course. You knew him, didn't you?

W: They seemed very close. What happened?

M: Yes, they were. Oh, it was all fine until they decided to have children. I think she basically didn't want them, but he did. Well, she had two girls, one after the other, and that meant she had to give up work.

W: Didn't she like being at home?

M: I think she liked working better, but she felt she should be at home with the children.

W: So what happened?

M: It all happened very quickly. She rang me one day to say that Peter had left home. He had a new girlfriend. It was strange because he seemed so devoted to his children. They got divorced in a few months and he was married three days later.

W: Did He take the children?

M: No, that was the amazing thing. He seemed to have lost interest in all of them.

W: Does Pat work?

M: Oh, yes, she has to..."
297,"Given the question ""What has the man done?"" and the answer ""He has bought the wrong book."", write a conversation that might have happened.
","
M: Hey, Louise, I've got a used copy of our chemistry textbook for half price.

W: I'm afraid you wasted your money, yours is the first edition, but we're supposed to be using the third edition."
298,"Given the question ""Why can't the woman buy it?"" and the answer ""Because they don't have enough money."", write a conversation that might have happened.
","
W: I'm going to buy a new carpet.

M: But you can't do that.

W: Why can't I?

M: We haven't got enough money."
299,"Given the question ""Why does the woman make the call?"" and the answer ""To make changes to a reservation."", write a conversation that might have happened.
","
M: Hello, Milton Hotel Reservations. How may I assist you?

W: Hi, I'm calling to make some changes to an existing reservation.

M: Certainly. Do you have the reservation number?

W: Sure, it's 219.

M: That's a reservation for Sally Menkel. Is that right?

W: Yes, that's right. I'd like to change the check-in date from September 15 to September 16.

M: Certainly. I can make that change for you. Is that the only change?

W: No, the check-out date will also change from the 23rd to the 24th.

M: No problem. We have you arriving on the 16th of September and leaving the 24th of September - altogether, eight nights. Will there be anything else?

W: Yes. Instead of a courtyard room, I'd like a room with a view, preferably on an upper floor.

M: I can certainly change that for you, but there will be a change in the room rate. The new rate is $199 per night, instead of the original $179.

W: That's OK. These are all the changes. Thank you very much.

M: You're welcome. Have a nice day!"
300,"Given the question ""When will the woman arrive at the hotel?"" and the answer ""On September 16."", write a conversation that might have happened.
","
M: Hello, Milton Hotel Reservations. How may I assist you?

W: Hi, I'm calling to make some changes to an existing reservation.

M: Certainly. Do you have the reservation number?

W: Sure, it's 219.

M: That's a reservation for Sally Menkel. Is that right?

W: Yes, that's right. I'd like to change the check-in date from September 15 to September 16.

M: Certainly. I can make that change for you. Is that the only change?

W: No, the check-out date will also change from the 23rd to the 24th.

M: No problem. We have you arriving on the 16th of September and leaving the 24th of September - altogether, eight nights. Will there be anything else?

W: Yes. Instead of a courtyard room, I'd like a room with a view, preferably on an upper floor.

M: I can certainly change that for you, but there will be a change in the room rate. The new rate is $199 per night, instead of the original $179.

W: That's OK. These are all the changes. Thank you very much.

M: You're welcome. Have a nice day!"
